trip_date,average_trip_duration_seconds
2019-10-01,519.1
2019-10-02,489.13
2019-10-03,507.11
2019-10-04,502.37
2019-10-05,529.7
2019-10-06,540.28
2019-10-07,515.54
2019-10-08,515.45
2019-10-09,512.15
2019-10-10,505.07
2019-10-11,475.8
2019-10-12,500.31
2019-10-13,522.71
2019-10-14,497.98
2019-10-15,495.02
2019-10-16,489.14
2019-10-17,492.55
2019-10-18,501.66
2019-10-19,543.49
2019-10-20,519.45
2019-10-21,496.9
2019-10-22,482.14
2019-10-23,496.66
2019-10-24,485.11
2019-10-25,489.66
2019-10-26,473.92
2019-10-27,526.66
2019-10-28,491.47
2019-10-29,482.4
2019-10-30,482.63
2019-10-31,469.96
2019-11-01,484.36
2019-11-02,479.09
2019-11-03,494.9
2019-11-04,496.17
2019-11-05,483.21
2019-11-06,481.19
2019-11-07,468.29
2019-11-08,467.46
2019-11-09,495.53
2019-11-10,489.2
2019-11-11,512.31
2019-11-12,493.19
2019-11-13,485.67
2019-11-14,479.07
2019-11-15,483.4
2019-11-16,491.86
2019-11-17,473.27
2019-11-18,485.01
2019-11-19,477.83
2019-11-20,483.82
2019-11-21,482.8
2019-11-22,473.28
2019-11-23,475.99
2019-11-24,486.86
2019-11-25,485.3
2019-11-26,476.35
2019-11-27,452.03
2019-11-28,465.0
2019-11-29,495.71
2019-11-30,455.52
2019-12-01,457.99
2019-12-02,473.7
2019-12-03,477.26
2019-12-04,480.34
2019-12-05,480.92
2019-12-06,469.2
2019-12-07,468.38
2019-12-08,469.31
2019-12-09,478.4
2019-12-10,460.72
2019-12-11,472.68
2019-12-12,472.95
2019-12-13,481.39
2019-12-14,469.67
2019-12-15,455.37
2019-12-16,470.52
2019-12-17,469.46
2019-12-18,458.33
2019-12-19,471.48
2019-12-20,477.45
2019-12-21,497.95
2019-12-22,507.91
2019-12-23,481.06
2019-12-24,478.12
2019-12-25,538.17
2019-12-26,509.05
2019-12-27,474.15
2019-12-28,479.22
2019-12-29,505.66
2019-12-30,458.39
2019-12-31,461.94
2020-01-01,1694.82
2020-01-02,1242.74
2020-01-03,761.3
2020-01-04,1818.68
2020-01-05,1823.02
2020-01-06,1096.58
2020-01-07,773.2
2020-01-08,663.49
2020-01-09,2173.02
2020-01-10,1553.13
2020-01-11,876.25
2020-01-12,863.82
2020-01-13,701.15
2020-01-14,842.18
2020-01-15,1570.98
2020-01-16,683.71
2020-01-17,851.05
2020-01-18,1119.61
2020-01-19,1492.21
2020-01-20,2666.97
2020-01-21,699.67
2020-01-22,1002.12
2020-01-23,2265.68
2020-01-24,1063.38
2020-01-25,1873.98
2020-01-26,3205.51
2020-01-27,720.29
2020-01-28,852.38
2020-01-29,806.61
2020-01-30,713.46
2020-01-31,870.59
2020-02-01,2972.19
2020-02-02,3927.09
2020-02-03,727.55
2020-02-04,737.16
2020-02-05,691.9
2020-02-06,1590.2
2020-02-07,831.89
2020-02-08,2435.93
2020-02-09,4393.48
2020-02-10,1211.83
2020-02-11,1683.74
2020-02-12,759.94
2020-02-13,1048.26
2020-02-14,880.29
2020-02-15,1125.82
2020-02-16,1421.01
2020-02-17,743.33
2020-02-18,1183.71
2020-02-19,757.43
2020-02-20,678.8
2020-02-21,1044.13
2020-02-22,3001.01
2020-02-23,2209.93
2020-02-24,677.26
2020-02-25,699.83
2020-02-26,723.17
2020-02-27,693.53
2020-02-28,2803.16
2020-02-29,1188.1
2020-03-01,2157.15
2020-03-02,1508.16
2020-03-03,764.69
2020-03-04,819.2
2020-03-05,887.06
2020-03-06,827.69
2020-03-07,1553.81
2020-03-08,2154.35
2020-03-09,825.19
2020-03-10,845.36
2020-03-11,858.42
2020-03-12,1051.36
2020-03-13,1155.13
2020-03-14,1718.78
2020-03-15,2004.74
2020-03-16,963.13
2020-03-17,1242.8
2020-03-18,1090.84
2020-03-19,1923.08
2020-03-20,1311.53
2020-03-21,1904.24
2020-03-22,2352.53
2020-03-23,1586.25
2020-03-24,1722.5
2020-03-25,2351.55
2020-03-26,2649.19
2020-03-27,6350.88
2020-03-28,1495.44
2020-03-29,1514.82
2020-03-30,1148.54
2020-03-31,2923.34
